iter	Logloss
259	0.3949869895
260	0.394862973
261	0.3938034213
262	0.3936816624
263	0.3922956817
264	0.3911563328
265	0.3904919138
266	0.3891752593
267	0.3886063245
268	0.3879105315
269	0.3878249344
270	0.3868873363
271	0.3868570912
272	0.3857938805
273	0.3851952845
274	0.3850801818
275	0.3842549227
276	0.3840265858
277	0.3838960687
278	0.3830488555
279	0.3820742004
280	0.3808048793
281	0.3806945645
282	0.3801822662
283	0.3794770143
284	0.3790677129
285	0.3786619537
286	0.378525987
287	0.3778618404
288	0.3773383316
289	0.3768808015
290	0.3766120599
291	0.3760251026
292	0.375827945
293	0.3752509526
294	0.3741326235
295	0.3724228995
296	0.3714496846
297	0.3711503477
298	0.3709809829
299	0.3707663867
300	0.3706203383
301	0.3698226384
302	0.3677248274
303	0.3676549561
304	0.3672560088
305	0.3672177062
306	0.3663193839
307	0.365990736
308	0.3659167387
309	0.365014991
310	0.3649083741
311	0.3648506087
312	0.3648079463
313	0.364664467
314	0.3642654419
315	0.3642418141
316	0.3637664172
317	0.363093746
318	0.3630607761
319	0.3626427553
320	0.3625498791
321	0.3617129034
322	0.3613449408
323	0.3608336935
324	0.3604117024
325	0.3600653434
326	0.3597898678
327	0.3594356459
328	0.3590739503
329	0.35874503
330	0.3580021372
331	0.3576428939
332	0.3569028426
333	0.3566392393
334	0.3560728735
335	0.3559850576
336	0.3552763413
337	0.3544160493
338	0.3540623723
339	0.353685418
340	0.3530598076
341	0.3526040681
342	0.3521132566
343	0.352014892
344	0.3514895147
345	0.3507982371
346	0.3503366587
347	0.3498321066
348	0.3491306694
349	0.348834174
350	0.3481265477
351	0.3475811238
352	0.3468903522
353	0.3465306029
354	0.3460918349
355	0.345500946
356	0.3454707788
357	0.3447679014
358	0.3440533852
359	0.3435651818
360	0.3431714895
361	0.3422852341
362	0.3421699368
363	0.341838136
364	0.3416136917
365	0.3414856658
366	0.3406762882
367	0.3401503271
368	0.3398274791
369	0.33955539
370	0.3391908529
371	0.3389995341
372	0.3388289627
373	0.3386905826
374	0.3384000039
375	0.338147611
376	0.3372907833
377	0.3369666898
378	0.3367016851
379	0.3360222797
380	0.335594294
381	0.3346142672
382	0.3341863983
383	0.3341236115
384	0.3335741004
385	0.3335312435
386	0.3330827051
387	0.3327462722
388	0.3324660087
389	0.3322962936
390	0.3321935303
391	0.332039074
392	0.3316992935
393	0.331637402
394	0.3314897187
395	0.3312130753
396	0.3309797559
397	0.3305133119
398	0.3301859486
399	0.3300631387
400	0.3293304443
401	0.3289739258
402	0.3283976341
403	0.3282436449
404	0.3281105197
405	0.3277962354
406	0.3274652909
407	0.3269783721
408	0.3261646349
409	0.3257602575
410	0.3252667408
411	0.3248455476
412	0.3247524573
413	0.3247124419
414	0.3245795698
415	0.3242083958
416	0.3239464468
417	0.3238288334
418	0.3237881758
419	0.3236798267
420	0.3233719261
421	0.3228131898
422	0.3225319142
423	0.3221031111
424	0.3216133896
425	0.3212542437
426	0.3208235527
427	0.3206521054
428	0.3203839283
429	0.3200185348
430	0.3197485281
431	0.3195952785
432	0.3194750182
433	0.3189528134
434	0.3186839941
435	0.3184672375
436	0.3180339969
437	0.317754979
438	0.3175224382
439	0.316833282
440	0.3165456032
441	0.3163205166
442	0.3162496333
443	0.3158214725
444	0.3154614896
445	0.3151788906
446	0.3147453191
447	0.3146643736
448	0.3145738329
449	0.3142529507
450	0.3137481845
451	0.3136879279
452	0.3132396231
453	0.3127894693
454	0.3125347021
455	0.3121777554
456	0.3120361445
457	0.3120008196
458	0.3116303269
459	0.3105220016
460	0.3102770825
461	0.3099476951
462	0.3093847547
463	0.3092859035
464	0.3089524289
465	0.3085988298
466	0.3082050985
467	0.3079429159
468	0.3075702434
469	0.3075170322
470	0.3073032924
471	0.3071455858
472	0.3071324095
473	0.306657324
474	0.3063902368
475	0.3058586704
476	0.3057081845
477	0.3053816776
478	0.3051678405
479	0.3049282152
480	0.3048257439
481	0.3048213842
482	0.3041879887
483	0.3041818191
484	0.3036825414
485	0.3036001945
486	0.3033511298
487	0.3026493228
488	0.3023959958
489	0.3021853116
490	0.3018089022
491	0.30180065
492	0.300882573
493	0.3004794413
494	0.3002470561
495	0.2998943329
496	0.299704941
497	0.2994788034
498	0.2989363962
499	0.2986603172
500	0.2983315915
501	0.2980539945
502	0.2979131037
503	0.2978839485
504	0.2978207724
505	0.2977491106
506	0.297489828
507	0.2972895564
508	0.2967222953
509	0.2958829257
510	0.2956689329
511	0.2952688178
512	0.295132637
513	0.2942448441
514	0.2938263757
515	0.2936157888
516	0.2931350202
517	0.292970307
518	0.2924251167
519	0.2919443675
520	0.2917044114
521	0.2915092974
522	0.2909847182
523	0.2901971389
524	0.2898492035
525	0.2896949807
526	0.2893071077
527	0.2891829938
528	0.2890957424
529	0.2890393588
530	0.28889405
531	0.2885483917
532	0.2884493847
533	0.2884372789
534	0.2882159097
535	0.2877300224
536	0.2875155624
537	0.2873263262
538	0.2870834896
539	0.2865518842
540	0.2863784712
541	0.2862659182
542	0.2860250084
543	0.2860194031
544	0.2858489679
545	0.285248445
546	0.2850453902
547	0.2849685513
548	0.2844073043
549	0.2843038209
550	0.2841154994
551	0.2839909378
552	0.283920327
553	0.2836439172
554	0.283606393
555	0.2829453994
556	0.282706903
557	0.2825486319
558	0.2823199253
559	0.2821687387
560	0.2820034416
561	0.2818721265
562	0.2817802429
563	0.2816485969
564	0.2812722654
565	0.2812040095
566	0.280776199
567	0.2806862033
568	0.2804950987
569	0.2803274661
570	0.2802782837
571	0.2802450024
572	0.2801559215
573	0.279950356
574	0.2794371624
575	0.2791515467
576	0.2788272585
577	0.2787278623
578	0.2781715393
579	0.2781078572
580	0.2780720263
581	0.2779093567
582	0.2778537322
583	0.2775769526
584	0.2774648861
585	0.277126974
586	0.2766946287
587	0.2765224612
588	0.2761538369
589	0.2756076346
590	0.2755336761
591	0.2754139803
592	0.2754022053
593	0.2753178733
594	0.2751881152
595	0.2749112188
596	0.2746256225
597	0.2741392486
598	0.2736994685
599	0.2734335685
600	0.2733836855
601	0.2731876373
602	0.2726862382
603	0.2725423696
604	0.272158506
605	0.2721281636
606	0.2721050029
607	0.2714616425
608	0.271054988
609	0.2704868317
610	0.2704840874
611	0.2703527723
612	0.2699840896
613	0.2699604034
614	0.2698182476
615	0.2697685397
616	0.2694551507
617	0.2692796357
618	0.2689144368
619	0.2685416085
620	0.2680246003
621	0.2675947267
622	0.267566389
623	0.2674632559
624	0.2672563475
625	0.2671311631
626	0.2666910522
627	0.2666272144
628	0.2662973988
629	0.2662922606
630	0.2660054187
631	0.2658822196
632	0.2657445402
633	0.2656469345
634	0.2656439178
635	0.265508749
636	0.2654994848
637	0.2650078365
638	0.2648698067
639	0.26443244
640	0.2641533832
641	0.2640079965
642	0.2639174169
643	0.2638918429
644	0.2636249698
645	0.2635334754
646	0.2632685292
647	0.2631783193
648	0.2631422354
649	0.2630736487
650	0.2629145019
651	0.2627825445
652	0.2626141139
653	0.2625476876
654	0.26195748
655	0.2617141568
656	0.2614254076
657	0.2612910173
658	0.2611127386
659	0.2604029519
660	0.2603581876
661	0.2603291103
662	0.2601544906
663	0.2601143973
664	0.2597078985
665	0.259492154
666	0.2590903457
667	0.2589002726
668	0.2584656501
669	0.25834973
670	0.2582621672
671	0.2581355231
672	0.257947007
673	0.2573308555
674	0.2570611214
675	0.2570308569
676	0.2565717308
677	0.2564153866
678	0.2563786409
679	0.2563593144
680	0.256201238
681	0.256189502
682	0.2559930451
683	0.2556738951
684	0.2552758236
685	0.2549545911
686	0.2549465335
687	0.2548082118
688	0.2543981124
689	0.2543305378
690	0.2541435787
691	0.2540440657
692	0.2537178117
693	0.2530473203
694	0.253003101
695	0.2527375124
696	0.2524526168
697	0.252396097
698	0.252238877
699	0.2521032606
700	0.2519655812
701	0.2518658541
702	0.2515743801
703	0.2514227458
704	0.2513840734
705	0.2511029925
706	0.2509117126
707	0.2506242674
708	0.2505235672
709	0.2505078608
710	0.2501820156
711	0.2500040872
712	0.2498525697
713	0.2496518894
714	0.2493872934
715	0.2491024562
716	0.2490076532
717	0.248745276
718	0.2486811073
719	0.2484471652
720	0.2483647989
721	0.247907405
722	0.2478210294
723	0.2477415241
724	0.2476782507
725	0.2475066866
726	0.2474960405
727	0.2472820671
728	0.2469890361
729	0.2468789938
730	0.2468172579
731	0.2467219684
732	0.2467042378
733	0.2464908678
734	0.2462387669
735	0.2458284534
736	0.2457261767
737	0.2455011485
738	0.2451487171
739	0.2450564248
740	0.2449500026
741	0.2447073995
742	0.2445460534
743	0.2444980777
744	0.2444738661
745	0.2443446724
746	0.2442070903
747	0.2441159073
748	0.2440214741
749	0.2439225255
750	0.2436412111
751	0.2434792811
752	0.2430613965
753	0.2430345963
754	0.2428073494
755	0.2427773962
756	0.2427584979
757	0.2426614956
758	0.2425983585
759	0.2424130342
760	0.2423271257
761	0.2421128215
762	0.2419837251
763	0.2417481481
764	0.2417259216
765	0.2415869771
766	0.24144994
767	0.2414479158
768	0.2414244048
769	0.241331334
770	0.2411223236
771	0.2410599456
772	0.2408419239
773	0.2407307333
774	0.2405018709
775	0.2404037203
776	0.2403721907
777	0.2402413816
778	0.2402048695
779	0.2401959945
780	0.2399956061
781	0.2399229711
782	0.2397797643
783	0.2396662381
784	0.2393495015
785	0.2392376686
786	0.2389108113
787	0.2387459035
788	0.2386139656
789	0.2384824169
790	0.23832146
791	0.2381826907
792	0.2381645514
793	0.238050344
794	0.2379562222
795	0.2378046464
796	0.2374809032
797	0.2373581711
798	0.2373167544
799	0.2367028412
800	0.2365036595
801	0.2364316668
802	0.2363262955
803	0.2361042646
804	0.2359777567
805	0.2358748572
806	0.2357273686
807	0.2354021462
808	0.2352406249
809	0.2351141171
810	0.2348208914
811	0.2344443263
812	0.2343610647
813	0.234306822
814	0.2341515288
815	0.234070992
816	0.2338084007
817	0.2336869142
818	0.233536331
819	0.2333410419
820	0.2332599796
821	0.2331572163
822	0.2329102341
823	0.2327008734
824	0.2324635447
825	0.2321072014
826	0.2318758283
827	0.2315672855
828	0.2314635296
829	0.2313416345
830	0.2311213552
831	0.2311198176
832	0.2309321189
833	0.2309292579
834	0.2308608269
835	0.2307671917
836	0.2306267875
837	0.230483386
838	0.2303713584
839	0.2302215148
840	0.230066027
841	0.2298819484
842	0.2295659124
843	0.2290994488
844	0.2287599992
845	0.2285564384
846	0.2281958522
847	0.2280918822
848	0.2279146156
849	0.2275811799
850	0.2274948626
851	0.2274513245
852	0.2272971406
853	0.2272403873
854	0.2270416143
855	0.2267099303
856	0.226606875
857	0.2264851745
858	0.2261707929
859	0.2260012919
860	0.2259817707
861	0.2258705996
862	0.2257698799
863	0.2255356652
864	0.2254107339
865	0.225239851
866	0.2250755855
867	0.224897735
868	0.2247784284
869	0.2246279425
870	0.2244715983
871	0.2243145145
872	0.2242525256
873	0.2240374429
874	0.2240279061
875	0.2239889417
876	0.2238544542
877	0.2236831431
878	0.2235326183
879	0.2235034242
880	0.2234110735
881	0.223250681
882	0.2231738811
883	0.222841438
884	0.2226490099
885	0.2224929965
886	0.2224624984
887	0.2221076732
888	0.2218757552
889	0.2217799595
890	0.2217371415
891	0.221588777
892	0.2214045038
893	0.220848356
894	0.220757426
895	0.2206647445
896	0.2205964303
897	0.2204411954
898	0.2203702343
899	0.2203039442
900	0.220214474
901	0.2201798108
902	0.220047036
903	0.2199721434
904	0.219713503
905	0.219652137
906	0.2192396047
907	0.2190701621
908	0.2190189751
909	0.2187577656
910	0.218505548
911	0.2182814345
912	0.218233381
913	0.2180419066
914	0.2179352897
915	0.2179165276
916	0.2176240415
917	0.2176048707
918	0.2175109435
919	0.2173326453
920	0.2170453364
921	0.2167882725
922	0.2166842441
923	0.216663672
924	0.2164945602
925	0.2164329412
926	0.2163178191
927	0.2158777665
928	0.2157482809
929	0.2156452646
930	0.2156344044
931	0.2155688928
932	0.2154573713
933	0.2153587925
934	0.2152217943
935	0.2150906933
936	0.2150010868
937	0.2148215819
938	0.2147127658
939	0.2146712323
940	0.214532677
941	0.2144280258
942	0.2142668938
943	0.2141231031
944	0.2140441817
945	0.2139528625
946	0.2138271526
947	0.2137699127
948	0.2137421589
949	0.213699769
950	0.2135308713
951	0.2132363027
952	0.2131845902
953	0.2128845137
954	0.2128395548
955	0.2127471067
956	0.2124588246
957	0.2124151113
958	0.212326478
959	0.212271087
960	0.2121888375
961	0.2121495617
962	0.2119687333
963	0.2118614936
964	0.2118313459
965	0.2115529703
966	0.2114354153
967	0.211373154
968	0.2113294407
969	0.2112027577
970	0.2109205285
971	0.2108227088
972	0.210768505
973	0.2107655272
974	0.2107503463
975	0.2106900118
976	0.2105962403
977	0.2104920368
978	0.2101846422
979	0.2098555662
980	0.2098403464
981	0.2098233748
982	0.2097571042
983	0.2096599073
984	0.2094477439
985	0.2093765103
986	0.209362828
987	0.2093268219
988	0.2092788852
989	0.2092419449
990	0.2091272315
991	0.2089344725
992	0.2087394948
993	0.2085749957
994	0.2084814578
995	0.2082605557
996	0.2079039982
997	0.2078203474
998	0.2077478876
999	0.2077328624
